belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
Superman Collection;17000000;Action;Adventure Science Fiction ;en;With global superpowers engaged in an increasingly hostile arms race  Superman leads a crusade to rid the world of nuclear weapons. But Lex Luthor  recently sprung from jail  is declaring war on the Man of Steel and his quest to save the planet. Using a strand of Supermans hair  Luthor synthesizes a powerful ally known as Nuclear Man and ignites an epic battle spanning Earth and space.;7.716;Cannon Group;United Kingdom;1987-07-23;19300000;90;en;Nuclear Power. In the best hands  it is dangerous. In the hands of Lex Luthor  it is pure evil. This is Supermans greatest battle. And it is for all of us.;Superman IV: The Quest for Peace;4.2;475;saving the world dc comics mountain nuclear missile u.s. army alter ego sequel superhero laboratory convertible super power catholic school newspaper editor nuclear weapons disarmament volcanic eruption great wall of china superhuman strength 
Batman Collection;125000000;Science Fiction;Action Fantasy Comedy ;en;Along with crime-fighting partner Robin and new recruit Batgirl  Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice  while Ivy tries to drive a wedge between the dynamic duo.;8.846;DC Comics;United Kingdom;1997-06-20;238207122;125;en;Strength. Courage. Honor. And loyalty.;Batman & Robin;4.2;2269;double life dc comics dual identity crime fighter fictional place gotham city superhero credit card super power 
Brice Collection;0;Comedy;;fr;Brice is back. The world has changed  but not him. When his best friend  Marius  calls for help  he goes on a wild adventure that will lead him to the other side of the world... Travel shapes youth but will he remain the king of the casse ?;4.701;M6 Films;France;2016-10-19;0;95;fr;;Brice 3;4.2;294;
Vampires Suck Collection;20000000;Comedy;Horror ;en;Becca  an anxious  non-vampire teen is torn between two boys. Before she can choose  Becca must get around her controlling father  who embarrasses Becca by treating her like a child. Meanwhile  Beccas friends contend with their own romantic issues - all of which collide at the prom.;8.251;Road Rebel;United States of America;2010-08-18;80547866;82;en;Some sagas just wont die.;Vampires Suck;4.2;556;vampire high school parody prom spoof horror spoof teenager duringcreditsstinger 
;10000000;Mystery;Thriller ;en;In a small town in Massachusetts  four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing  they begin to suspect that she is  in fact  his latest victim.;28.135;Madhouse Entertainment;United States of America;2018-08-10;11817275;93;en;Can you see him?;Slender Man;4.2;335;small town massachusetts urban legend slender man 
The Scorpion King Collection;0;Fantasy;Action Adventure Science Fiction ;en;The heroic tale of young Mathayus and his relentless quest for justice against an evil and powerful villain  King Sargon. Mathayus faces heart-stopping tribulations during his adventurous  odds-defying trajectory toward his ultimate destiny: becoming the formidable warrior king of an ancient desert empire.;14.468;Universal Pictures;United States of America;2008-07-19;0;109;en;See how the legend of The Scorpion King began!;The Scorpion King: Rise of a Warrior;4.2;250;mercenary training greek 
Home Alone Collection;0;Crime;Comedy Family ;en;Kevin McCallisters parents have split up. Now living with his mom  he decides to spend Christmas with his dad at the mansion of his fathers rich girlfriend  Natalie. Meanwhile robber Marv Merchants  one of the villains from the first two movies  partners up with a new criminal named Vera to hit Natalies mansion.;9.228;20th Century Fox Television;United States of America;2002-11-02;0;89;en;;Home Alone 4;4.2;428;fight father house crook couple alone 
Piranha 3D Collection;5000000;Horror;Thriller Comedy ;en;After the events at Lake Victoria  the prehistoric school of blood-thirsty piranhas make their way into swimming pools  plumbing  and a newly opened water park.;6.646;Dimension Films;United States of America;2012-05-11;8493728;83;en;Twice the Teeth. Twice the Terror.;Piranha 3DD;4.1;448;sequel breast water park piranha duringcreditsstinger 3d 
;6000000;Drama;Romance ;en;Johnny is a successful banker with great respect for and dedication to the people in his life  especially his future wife Lisa. The happy-go-lucky guy sees his world fall apart when his friends begin to betray him one-by-one.;6.636;Chloe Productions;United States of America;2003-06-27;1800;99;en;Can you ever really trust anyone?;The Room;4.1;575;american football friends slice of life independent film drug pusher relationship cult film golddigger cheating fianc‚e affair 
;40000000;Mystery;Thriller Horror Drama ;en;A sheriff investigating the disappearance of a young girl from a small island discovers theres a larger mystery to solve among the islands secretive  neo-pagan community.;5.954;Alcon Entertainment;United States of America;2006-09-01;38755073;102;en;Some sacrifices must be made;The Wicker Man;4.1;574;california based on novel or book island airplane limousine remake car crash allergy bee based on movie 
;18000000;Adventure;Animation Comedy Family ;en;The stereoscopic 3D animated family film Norm tells the story of the titular polar bear and his three Arctic lemming buddies  who are forced out into the world once their icy home begins melting and breaking apart. Landing in New York  Norm begins life anew as a performing corporate mascot  only to discover that his new employers are directly responsible for the destruction of his polar home.;4.709;Lionsgate;United States of America;2016-01-14;17062499;86;en;Bear to be different;Norm of the North;4.1;166;new york polar bear new york city 
George of the Jungle Collection;0;Adventure;Comedy Family ;en;George and Ursula now have a son  George Junior  so Ursulas mother arrives to try and take them back to civilization.;4.816;Walt Disney Pictures;Australia;2003-08-18;0;87;en;Get Back in the Swing of Things.;George of the Jungle 2;4.1;187;
;4500000;Comedy;;en;In this Hunger Games spoof  Kantmiss Evershot must fight for her life in the 75th annual Starving Games  where she could also win an old ham  a coupon for a foot-long sub  and a partially eaten pickle.;0.6;The Safran Company;United States of America;2013-11-07;0;83;en;All the laughs  half the calories;The Starving Games;4.1;321;parody toilet humor 
;0;Horror;Thriller ;en;A young nurse takes care of elderly author who lives in a haunted house.;7.129;Eggplant Pictures;United States of America;2016-09-10;0;89;en;;I Am the Pretty Thing That Lives in the House;4.1;234;
;108;Comedy;Horror ;en;Its Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend  his best friends date  and a smoking hot ex-girlfriend waiting to go to a party  Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers hes actually Stan Van Helsing  descendan;4.618;Insight Film Studios;Canada;2009-10-27;0;90;en;The most feared monsters in cinematic history have met their match...;Stan Helsing;4.1;153;halloween slapstick duringcreditsstinger 
French Fried Vacation;0;Comedy;;fr;After the Club Med and skiing  what happened to the Bronz‚s 27 years later? Early response: the same  and worse.;4.826;Les Films Christian Fechner;France;2006-02-01;0;95;fr;;French Fried Vacation 3;4.1;338;
;48000000;Adventure;Comedy Family Fantasy ;en;Mario and Luigi  plumbers from Brooklyn  find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. Theyre the only hope to save our universe from invasion by the dino dictator  Koopa.;6.534;Walt Disney Pictures;United Kingdom;1993-05-28;20915465;104;en;This Aint No Game.;Super Mario Bros.;4.1;391;saving the world sibling relationship royalty dinosaur based on video game woman director multiple dimensions 
Street Fighter (Live-Action) Collection;50000000;Action;Adventure Science Fiction Thriller ;en;When a teenager  Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up  she goes into a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe.;5.529;Hyde Park Films;Canada;2009-02-27;12764201;97;en;Some fight for power. Some fight for us.;Street Fighter: The Legend of Chun-Li;4.0;173;martial arts revenge street fighter based on video game 
Dumb and Dumber Collection;19000000;Comedy;;en;This wacky prequel to the 1994 blockbuster goes back to the lame-brained Harry and Lloyds days as classmates at a Rhode Island high school  where the unprincipled principal puts the pair in remedial courses as part of a scheme to fleece the school.;6.691;New Line Cinema;United States of America;2003-06-13;39267515;85;en;The evolution of dumb...;Dumb and Dumberer: When Harry Met Lloyd;4.0;325;skateboarding adoption friendship fate 
;0;Science Fiction;;en;A sexy nightclub owner  Barb Wire moonlights as a mercenary in Steel Harbor  one of the last free zones in the now fascist United States. When scientist Cora Devonshire wanders into Barbs establishment  she gets roped into a top-secret government plot involving biological weapons. Soon Barb is reunited with her old flame Axel Hood  who is now Coras husband and a guerrilla fighter  resulting in plenty of tense action.;5.444;PolyGram Filmed Entertainment;United States of America;1996-05-02;3793614;98;en;Dont call me babe!;Barb Wire;4.0;166;scientist bar electrical torture pretending to be a prostitute sprayed with water pressure washer obese 
;79000000;Comedy;;en;Jack Sadelstein  a successful advertising executive in Los Angeles with a beautiful wife and kids  dreads one event each year: the Thanksgiving visit of his twin sister Jill. Jills neediness and passive-aggressiveness is maddening to Jack  turning his normally tranquil life upside down.;6.934;Broken Road Productions;United States of America;2011-11-11;149673788;91;en;His twin sister is coming for the holidays... ...and it aint pretty.;Jack and Jill;4.0;944;usa thanksgiving los angeles family celebration duringcreditsstinger 
